ENTIDAD;CODIGO_UNIDAD_EJECUTORA;VIGENCIA;RUBRO;DESCRIPCION
230;01;2019;3-01-002-02-02-03-0003-08; Servicios científicos y otros servicios técnicos
230;01;2019;3-01-002-02-02-03-0003-10; Servicios de publicidad y el suministro de espacio o tiempo publicitarios
230;01;2019;3-01-002-02-02-03-0003-12; Servicios fotográficos y servicios de revelado fotográfico
230;01;2019;3-01-002-02-02-03-0003-13; Otros servicios profesionales y técnicos n.c.p.
230;01;2019;3-01-002-02-02-03-0004-01; Servicios de telefonía fija
230;01;2019;3-01-002-02-02-03-0004-02;Servicios de Telecomunicaciones Móviles
230;01;2019;3-01-002-02-02-03-0004-04; Servicios de telecomunicaciones a través de internet
230;01;2019;3-01-002-02-02-03-0004-06; Servicios de bibliotecas y archivos
230;01;2019;3-01-002-02-02-03-0004-071; Emisora UD
230;01;2019;3-01-002-02-02-03-0005-01; Servicios de protección (guardas de seguridad)
230;01;2019;3-01-002-02-02-03-0005-02; Servicios de limpieza general
230;01;2019;3-01-002-02-02-03-0005-03; Servicios de copia y reproducción
230;01;2019;3-01-002-02-02-03-0005-061; Servicios de organización y asistencia de convenciones y ferias
230;01;2019;3-01-002-02-02-03-0005-062;Membresías
230;01;2019;3-01-002-02-02-03-0006-01; Servicios de mantenimiento y reparación de productos metálicos elaborados, excepto maquinaria y equipo
230;01;2019;3-01-002-02-02-03-0006-02; Servicios de mantenimiento y reparación de maquinaria de oficina y contabilidad
230;01;2019;3-01-002-02-02-03-0006-03; Servicios de mantenimiento y reparación de computadores y equipo periférico
230;01;2019;3-01-002-02-02-03-0006-04; Servicios de mantenimiento y reparación de maquinaria y equipo de transporte
230;01;2019;3-01-002-02-02-03-0006-05; Servicios de mantenimiento y reparación de otra maquinaria y otro equipo
230;01;2019;3-01-002-02-02-03-0006-08; Servicios de mantenimiento y reparación de equipos y aparatos de telecomunicaciones
230;01;2019;3-01-002-02-02-03-0006-11; Servicios de mantenimiento y reparación de ascensores y escaleras mecánicas
230;01;2019;3-01-002-02-02-03-0006-12;Servicio de Reparación de Otros Bienes
230;01;2019;3-01-002-02-02-03-0007-011; Servicios editoriales, a comisión o por contrato
230;01;2019;3-01-002-02-02-03-0007-012; Servicios editoriales, a comisión o por contrato Contratistas Publicaciones
230;01;2019;3-01-002-02-02-03-0007-021; Servicios de impresión
230;01;2019;3-01-002-02-02-03-0007-031; Servicios relacionados con la impresión
230;01;2019;3-01-002-02-02-03-0007-032; Servicios relacionados con la impresión Rectoría
230;01;2019;3-01-002-02-02-04-0001-01;Energía
230;01;2019;3-01-002-02-02-04-0001-02;Acueducto y alcantarillado
230;01;2019;3-01-002-02-02-04-0001-03;Aseo
230;01;2019;3-01-002-02-02-04-0001-04;Gas
230;01;2019;3-01-002-02-02-05-0001-00;Viáticos y gastos de viaje CSU
230;01;2019;3-01-002-02-02-05-0002-00;Viáticos y gastos de viaje - UAA
230;01;2019;3-01-002-02-02-06-0000-00;Capacitación
230;01;2019;3-01-002-02-02-06-0002-00;Capacitación docentes
230;01;2019;3-01-002-02-02-07-0001-00;Estímulos académicos
230;01;2019;3-01-002-02-02-07-0002-00;Educación Libros Personal administrativo
230;01;2019;3-01-002-02-02-07-0003-00;Defunción y Matrimonio Personal administrativo
230;01;2019;3-01-002-02-02-07-0004-00;Apoyo alimentario
230;01;2019;3-01-002-02-02-07-0005-00;Plan de Salud de pensionados
230;01;2019;3-01-002-02-02-07-0006-00;Subsidio libros pensionados
230;01;2019;3-01-002-02-02-07-0007-00;Subsidio familiar pensionados
230;01;2019;3-01-002-02-02-07-0008-00;Encuentro de estudiantes
230;01;2019;3-01-002-02-02-07-0009-00;Prácticas Académicas Facultad Artes - ASAB
230;01;2019;3-01-002-02-02-07-0010-00;Prácticas Académicas Facultad Ciencias y Educación
230;01;2019;3-01-002-02-02-07-0011-00;Prácticas Académicas Facultad Ingeniería
230;01;2019;3-01-002-02-02-07-0012-00;Prácticas Académicas Decanatura Facultad Medio Ambiente y Recursos Naturales
230;01;2019;3-01-002-02-02-07-0013-00;Prácticas Académicas Facultad Tecnológica
230;01;2019;3-01-002-02-02-07-0014-00;Bienestar Universitario
230;01;2019;3-01-002-02-02-08-0000-00;Salud Ocupacional
230;01;2019;3-01-003-01-01-00-0000-00;Impuesto predial
230;01;2019;3-01-003-01-03-00-0000-00;Impuesto de vehículos
230;01;2019;3-01-003-02-00-00-0000-00;Tasas y derechos administrativos
230;01;2019;3-01-003-04-00-00-0000-00;Multas y sanciones
230;01;2019;3-01-004-01-00-00-0000-00;Pago de Cesantías
230;01;2019;3-01-004-02-00-00-0000-00;Pago pensiones
230;01;2019;3-01-004-03-00-00-0000-00;Bonos pensionales
230;01;2019;3-01-005-01-01-17-0004-00;Cuotas Partes Pensionales
230;01;2019;3-03-001-15-01-08-0119-378; Promoción de la investigación y desarrollo científico
230;01;2019;3-03-001-15-01-08-0119-379; Construcción nueva sede universitaria Ciudadela El Porvenir - Bosa
230;01;2019;3-03-001-15-01-08-0119-380; Mejoramiento y ampliación de la infraestructura física de la Universidad
230;01;2019;3-03-001-15-01-08-0119-389; Desarrollo y fortalecimiento doctorados y maestrías
230;01;2019;3-03-001-15-01-08-0119-4149; Dotación de laboratorios Universidad Distrital
230;01;2019;3-03-001-15-01-08-0119-4150; Dotación y actualización biblioteca
230;01;2019;3-03-001-15-01-08-0119-7535; Atención y promoción para la excelencia académica APEA
230;01;2019;3-03-001-15-01-08-0119-7539; Fomento y desarrollo de entornos virtuales en la UD
230;01;2019;3-03-001-15-01-43-0189-388; Modernización y Fortalecimiento Institucional
230;01;2019;3-03-002-27-02-00-0000-00;Administrativos
230;02;2019;2-00-991-00-00-00-0389-00;CONVENIO INTER. No. 2955 DE 2015 ENTRE LA SECRETARIA DE EDUCACION  Y LA UD
230;02;2019;2-00-991-00-00-00-1301-00;IDEXUD
230;02;2019;2-00-991-00-00-00-6401-00;INSTITUTO   DE LENGUAS DE LA UNIV.DISTRITAL
230;02;2019;2-00-991-00-00-00-6503-00;CONTRATO ELEC. N° 101-00-D-CACOM-1-DEDHU-2018 MIN. DEF. -FUERZA AEREA COLOMBIANA - UD
230;02;2019;2-00-991-00-00-00-6516-00;CONTRATO INTER. N° M-1583 DE 2018 ENTRE EL MINISTERIO DEL INTERIOR - UD
230;02;2019;2-00-991-00-00-00-6524-00;CONTRATO N° 001-00-B-COFAC-BACOF-2019 MIN DEFENSA- FUERZA AEREA COLOMBIANA - UD
230;02;2019;2-00-991-00-00-01-0245-00;CONVENIO INTERADMI.COFINANC.No.003/2009 FONDO DES.LCL TUNJUELITO
230;02;2019;2-00-991-00-00-01-0252-00;CONVENIO INTER. No. 085-2013 ENTRE EL FDL TUNJUELITO - UD
230;02;2019;2-00-991-00-00-01-0256-00;CONVENIO INTER. No. 171 DE 2014 ENTRE EL FDL DE TUNJUELITO Y LA UD
230;02;2019;2-00-991-00-00-01-0297-00;ESCUELA DE FORM. POLITICA: FORT. A ORGANIZACIONES
230;02;2019;2-00-991-00-00-01-0301-00;CONVENIO INTER. No. 1931 DE 2017 SUSCRITO CON LA SEC. DE EDUCACION DISTRITAL
230;02;2019;2-00-991-00-00-01-0382-00;PROYECTO SOSTENIBILIDAD ESTUDIANTES CONV. 174-2005 -SED
230;02;2019;2-00-991-00-00-01-0388-00;CONVENIO INTER. No. 2095 DE 2015 ENTRE LA SEC. DE EDUCACION DEL DISTRITO Y LA UD
230;02;2019;2-00-991-00-00-01-0390-00;CONVENIO INTER. No. 2694 DE 2016 ENTRE LA SECRETARIA DE EDUCACION DISTRITAL Y LA UD
230;02;2019;2-00-991-00-00-01-0391-00;CONVENIO INTER. No. 1720 DE 2017 SUSCRITO CON LA SEC. DE EDU. DEL DISTRITO
230;02;2019;2-00-991-00-00-01-0392-00;CONVENIO INTER. No. 4130 DE 2016 SUSCRITO CON LA SEC. DE EDU. DEL DISTRITO
230;02;2019;2-00-991-00-00-01-0393-00;CONVENIO INTER. No. 2276 DE 2017 SUSCRITO CON LA SED
230;02;2019;2-00-991-00-00-01-0394-00;CONV. INTERADM. 1969 DE 2019 SED. IMPLEMENT. Y FORT. ESTRATEG PEDAGOG  DE AT DIF EN I E D RECEPT  EST
230;02;2019;2-00-991-00-00-01-0403-00;CONVENIO INTER No. 089 DE 2016 ENTRE EL FDL DE CHAPINERO Y LA UD
230;02;2019;2-00-991-00-00-01-0404-00;CONTRATO INTER. DE ASOCIACIÓN UPME-CV-002 DE 2019 - UD
230;02;2019;2-00-991-00-00-01-0405-00;CONV INTERADM 80 DE 2019 REG ADMIN Y PLAN ESP RAPE
230;02;2019;2-00-991-00-00-01-0603-00;CONVENIO INTER. No. 179 DE 2014 ENTRE EL FDL DE KENNEDY Y LA UD
230;02;2019;2-00-991-00-00-01-0623-00;CONVENIO INTER. No. 191 DE 2014 ENTRE FDL KENNEDY Y LA UD
230;02;2019;2-00-991-00-00-01-0624-00;CONVENIO INTER. No. 119 DE 2015 ENTRE EL FDL DE KENNEDY Y LA UD
230;02;2019;2-00-991-00-00-01-0718-00;CONVENIO INTER. No. 623 DE 2012 ENTRE EL MINISTERIO DE EDUCACION - UD
230;02;2019;2-00-991-00-00-01-0939-00;CONVENIO INTER. No. CIA 030 DE 2012 ENTRE EL FDL DE CIUDAD BOLIVAR - UD
230;02;2019;2-00-991-00-00-01-0941-00;CONVENIO INTER. No. 023 DE 2013 ENTRE EL FDL CIUDAD BOLIVAR - UD
230;02;2019;2-00-991-00-00-01-0943-00;CONVENIO INTER. No. 028 DE 2013 ENTRE EL FDL DE CIUDAD BOLIVAR - UD
230;02;2019;2-00-991-00-00-01-0948-00;CONVENIO INTER. No. 155 DE 2015 ENTRE EL FDL DE CIUDAD BOLIVAR Y LA UD
230;02;2019;2-00-991-00-00-01-0949-00;CONVENIO INTER No. 207 DE 2016 ENTRE EL FDL DE CIUDAD BOLIVAR Y LA UD
230;02;2019;2-00-991-00-00-01-0950-00;CONVENIO INTER. N° 278 DE 2018 FDL DE CIUDAD BOLIVAR - UD
230;02;2019;2-00-991-00-00-01-1102-00;CONVENIO INTER. N° 258 DE 2018 CORP. AUTONOMA DEL ALTO MAGDALENA  CAM  - UD
230;02;2019;2-00-991-00-00-01-2021-00;CONVENIO INTER. No. L16-094-2013 ENTRE EL FDL PUENTE ARANDA - UD
230;02;2019;2-00-991-00-00-01-2022-00;CONVENIO INTER. No. L16-130-2013 DE 2013 ENTRE EL FDL PUENTE ARANDA - UD
230;02;2019;2-00-991-00-00-01-2025-00;CONVENIO INTER. No. L16-104 DE 2013 ENTRE EL FDL PUENTE ARANDA  - UD
230;02;2019;2-00-991-00-00-01-2413-00;CONVENIO INTER. DE COFINAN. 135-2006 ENTRE EL FDL SAN CRISTOBAL - UD
230;02;2019;2-00-991-00-00-01-2416-00;CONVENIO INTER. No. 132 DE 2014 ENTRE FDL SAN CRISTOBAL Y LA UD
230;02;2019;2-00-991-00-00-01-2417-00;CONVENIO INTER. No. 162 DE 2015 ENTRE EL FDL DE SAN CRISTOBAL Y LA UD
230;02;2019;2-00-991-00-00-01-2609-00;CONVENIO INTER. No. 178 DE 2014 ENTRE EL FDL ANTONIO NARIÑO Y LA UD
230;02;2019;2-00-991-00-00-01-3403-00;CONVENIO INTER. No. 002 DE 2016 ENTRE EL MUNICIPIO DE MONGUA Y LA UD
230;02;2019;2-00-991-00-00-01-3404-00;CONVENIO INTER. No. 2172 DE 2016 ENTRE EL INSTITUTO DISTRITAL DE LAS ARTES Y LA UD
230;02;2019;2-00-991-00-00-01-3405-00;CONVENIO INTER No. 01 DE 2016 ENTRE EL MUNICIPIO DE JUNIN Y LA UD
230;02;2019;2-00-991-00-00-01-3406-00;CONVENIO INTER No. 1594 DE 2016 ENTRE LA CORP. AUT. REG. CMARCA - CAR Y LA UD
230;02;2019;2-00-991-00-00-01-3407-00;CONVENIO DE COOP. No. 003 DE 2017  ENTRE LA CAR VALLES DEL SINÚ Y SAN JORGE
230;02;2019;2-00-991-00-00-01-3408-00;CONVENIO INTER. No. 247 DE 2016 SUSCRITO CON EL FDL DE SUBA
230;02;2019;2-00-991-00-00-01-3409-00;CONVENIO INTER. No. 03 DE 2017 SUSCRITO CON EL MUNICIPIO DE SUBACHOQUE
230;02;2019;2-00-991-00-00-01-3410-00;CONVENIO INTER No. 144 DE 2017 SUSCRITO CON LA CORP. AUT. REG. DEL MAGDALENA¿CAM
230;02;2019;2-00-991-00-00-01-3411-00;CONVENIO ASOC. No. 1177 DE 2017 SUSCRITO CON EL MINISTERIO DE EDUCACION NACIONAL
230;02;2019;2-00-991-00-00-01-3413-00;CONVENIO ESP. COOP. No. 001 DE 2017 UNIAGRARIA
230;02;2019;2-00-991-00-00-01-3414-00;CONVENIO INTER. No. 012 DE 2017 SUSCRITO CON CORPOCHIVOR
230;02;2019;2-00-991-00-00-01-3416-00;CONV INTERADM 769-2019 MUNICIPIO COTA
230;02;2019;2-00-991-00-00-01-3519-00;CONVENIO RC 382-2008, COLCIENCIAS - UD
230;02;2019;2-00-991-00-00-01-3528-00;CONVENIO No. 415 DE 2013 ENTRE FIDUBOGOTA-COLCIENCIAS - UD
230;02;2019;2-00-991-00-00-01-3529-00;CONVENIO ESPECIAL DE COOP. No. FP44842-392 DE 2015 ENTRE LA FIDUPREVISORA Y LA UD
230;02;2019;2-00-991-00-00-01-3532-00;CONVENIO ESPECIAL DE COOPERACION No. FP44842-425-2017 SUSCRITO CON COLCIENCIAS
230;02;2019;2-00-991-00-00-01-3533-00;CONTRATO FINAN. RECUP. CONTIN. N° FP 44842-254 DE 2018 FIDUPREVISORA -COLCIENCIAS Y LA  UD
230;02;2019;2-00-991-00-00-01-3534-00;CONTRATO FINAN. RECUP. CONTIN. N° FP 44842-462 DE 2018 FIDUPREVISORA  -  UD
230;02;2019;2-00-991-00-00-01-3535-00;CONTRATO RECUP. CONTINGENTE N° FP448442-367 DE 2018  FIDUPREVISORA S.A  -   UD
230;02;2019;2-00-991-00-00-01-3536-00;CONV ESPECIAL DE COOPERACION  No. 80740  205 DE 2019
230;02;2019;2-00-991-00-00-01-3605-00;CONVENIO DE ASOCIACION No. 139 DE 2012 ENTRE EL FDL LA CANDELARIA, FENALCO - UD
230;02;2019;2-00-991-00-00-01-3808-00;CONVENIO INTER. ESP. DE COOP. No. 602 DE 2013 ENTRE SECR. DISTR. DE DES. ECONOMICO - UD
230;02;2019;2-00-991-00-00-01-3809-00;CONVENIO INTER. No. 266 DE 2014 ENTRE LA SEC. DE DESARROLLO ECONOMICO Y LA UD
230;02;2019;2-00-991-00-00-01-4049-00;CONVENIO INTER. DE ASOC. No. 529 DE 2012 ENTRE LA CORPO. AUTONOMA REGIONAL DE C/MARCA - CAR - UD
230;02;2019;2-00-991-00-00-01-4051-00;CONVENIO INTER. DE ASOC. No. 532 DE 2012 ENTRE LA CORPO. AUTONOMA REGIONAL DE C/MARCA - CAR - UD
230;02;2019;2-00-991-00-00-01-4052-00;CONVENIO INTER. No. 002 DE 2016 ENTRE LA CVS Y LA UD
230;02;2019;2-00-991-00-00-01-4053-00;CONVENIO DE COOPERACION No. 028 DE 2018 ENTRE CAR VALLES DEL SINU Y SAN JORGE - UD
230;02;2019;2-00-991-00-00-01-4054-00;CONVENIO DE COOPERACION N° 004 DE 2019 CORP. AUTONOMA REG. VALLES DEL SINU Y SAN JORGE CVS - UD
230;02;2019;2-00-991-00-00-01-4114-00;CONVENIO INTER. No. 05 DE 2013 ENTRE LA UNI. ADMIN. ESP. DE SERVICIOS PUBLICOS - UAESP - UD
230;02;2019;2-00-991-00-00-01-4115-00;CONVENIO INTER. No. 002 DE 2015 ENTRE LA UAESP Y LA UD
230;02;2019;2-00-991-00-00-01-4131-00;CONVENIO INTER No. 375 DE 2016 ENTRE LA UAESP Y LA UD
230;02;2019;2-00-991-00-00-01-4132-00;CONVENIO INTER. No. 550 DE 2017 SUSCRITO CON LA UAESP
230;02;2019;2-00-991-00-00-01-4418-00;CONVENIO ACUERDO DE PARTI. EN LA RED DE NODOS EXCELENCIA PARA REGION AMERICAS
230;02;2019;2-00-991-00-00-01-4771-00;BIOMOLC
230;02;2019;2-00-991-00-00-01-5022-00;CONTRATO  INTER. N° 115 DE 2018 INS. INVES. EDU. DESARROLLO ECON -  IDEP Y L AUD
230;02;2019;2-00-991-00-00-01-5507-00;CONVENIO DE COOP. 201203 DE 2012 ENTRE LA FUND. DE INVEST. ARQUEOLOGICAS NACIONALES FIAN - UD
230;02;2019;2-00-991-00-00-01-5508-00;CONVENIO ESP. COOP. 0001 DE 2018 ASOCIACION  DE INVEST. MATERIALES PHYSICS CENTER - UD
230;02;2019;2-00-991-00-00-01-5509-00;CONVENIO ESP. COOP. N°001 DE 2018 - ASO.DE INVES. MAT. PHYSICS CENTER (0001) - UD
